date,type,bylaw_no,address,title,decision,resolution,readings_seen
2022-02-07,DVP,,50 Currie Street,2. Development Variance Permit Application – 36 Highway 37,Referred,R22-049,
2022-03-07,DP,,,2. Development Permit Application – 36 Highway 37,Carried,R22-073,
2022-03-07,DVP,,,4. Approval be given for the development variance permit application to reduce the,Carried,R22-073,
2022-03-07,DVP,,,3. Development Variance Permit Application – 36 Highway 37,Carried,R22-074,
2022-04-04,DVP,,35 Dunn Street,1. Development Variance Permit Application – 35 Dunn Street,Referred,R22-096,
2022-04-04,TUP,,2150 Forest Avenue,“THAT temporary use permit application to allow installation and operation of a portable,Referred,R22-097,
2022-05-02,DP,,,3. Development Permit Application – Wakita/Nalabila,Referred,R22-118,
2022-07-18,DVP,,56 Meldrum Street,1. Development Variance Permit Application – 56 Meldrum Street,Carried,R22-157,
2022-08-02,DP,,,1. Development Permit Application Wakita x Nalabila,Carried,R22-165,
2022-11-21,DP,,,1. Development Permit Amendment Application – Wakita x Nalabila,Carried,R22-203,
2019-02-19,OCP,1933,461 Quatsino Boulevard,"Density Benefit OCP Amendment Bylaw No. 1933, 2018",Defeated,,1
2019-02-19,OCP,,,Social Housing Zone and Official Community Plan Amendment Bylaw No.,Defeated,R19-51,1
2019-03-04,Zoning,1934,"461 Quatsino
      Boulevard","1. Bylaw No. 1934, 2019 – Rezoning and OCP Amendment for 461 Quatsino",Defeated,R19-072,2
2019-07-02,OCP,1942,,"1. Bylaw No. 1942, 2019 – Zoning and OCP Amendment to Permit Hobby Farms in G3-B",,,1
2019-08-06,OCP,,,1. Hobby Farms in the G3-B Zone and Official Community Plan Amendment Bylaw No.,Carried,R19-226,1
2019-09-16,OCP,1956,606 Mountainview Square,"Official Community Plan Amendment Bylaw No. 1956, 2019”;",Referred,,1
2020-01-20,Zoning,,,AND THAT staff are directed to draft a zoning amendment bylaw for application,Carried,R20-034,1
2020-01-20,Zoning,,,“THAT staff are directed to draft a zoning amendment bylaw for application as,Carried,R20-035,1
2020-03-02,Zoning,1971,,"Highway Commercial Zoning Amendment Bylaw No. 1971, 2020, to allow office",Defeated,R20-057,1
2020-04-06,Zoning,1974,606 Mountainview Square,1. Official Community Plan & Zoning Amendment Bylaw No. 1974,Referred,,1
2020-05-04,Zoning,,78 Sturgeon Street,THAT Loganberry Commercial Recreation OCP and Zoning Amendment Bylaw No.,Carried,R20-097,1
2020-07-20,Zoning,1981,205 Enterprise Avenue,"AND THAT ""650 and 656 Kuldo Zoning Amendment Bylaw No. 1981, 2020"" be",Carried,R20-148,1
2020-08-17,Zoning,1983,,"1. Coastal GasLink Meter Station Zoning Amendment Bylaw No. 1983, 2020",Carried,R20-176,3
2020-10-05,Zoning,1988,72 Bittern Street,"1. 72 Bittern Street Zoning Amendment Bylaw No. 1988, 2020",Defeated,R20-204,2
2020-12-07,Zoning,1991,52 Stickney Street,"2. 52 Stickney Street Zoning Amendment Bylaw No. 1991, 2020",Carried,R20-249,2
2021-03-15,OCP,1968,,"1. FireSmart OCP Amendment Bylaw No. 1968, 2020",Defeated,,1
2021-06-07,Zoning,1996,,"1. Loganberry Commercial OCP and Zoning Amendment Bylaw No. 1996, 2021",Referred,,4
2021-10-18,Zoning,,,“THAT “Accessory Buildings and Accessory Structures Zoning Amendment Bylaw No.,Referred,R21-203,1
2021-10-18,Zoning,,,THAT “Accessory Buildings and Accessory Structures Zoning Amendment Bylaw No.,Referred,R21-205,1
2022-01-17,Housing,1995,461 Quatsino Blvd,"2. Third Reading - Housing Agreement (461 Quatsino Blvd) Bylaw No. 1995, 2021",Carried,R22-022,4
2022-01-17,Zoning,2006,461 Quatsino Blvd,"Accessory Buildings and Structures Zoning Amendment Bylaw No. 2006, 2021 (7.17.17)",Carried,R22-022,4
2022-02-07,Housing,2011,,"“THAT the Housing Agreement (Crossroads Residential Dormitory) Bylaw No. 2011, 2022",Carried,R22-045,2
2022-09-06,OCP,2013,,"Area Official Community Plan Amendment, Bylaw No. 2013, 2022, as amended, in",Carried,R22-182,2
